,Wrestler,2013 Wins,2013 Losses,2013 Draws,2014 Wins,2014 Losses,2014 Draws,2015 Wins,2015 Losses,2015 Draws,2016 Wins,2016 Losses,2016 Draws
87,Jason Jordan,11.0,20.0,0.0,18.0,40.0,0.0,28.0,59.0,1.0,126.0,23.0,2.0
88,Danny Burch,6.0,22.0,0.0,,,,,,,,,
89,Diego,27.0,1.0,0.0,78.0,42.0,1.0,29.0,86.0,0.0,1.0,19.0,0.0
90,Fernando,27.0,1.0,0.0,70.0,39.0,1.0,30.0,87.0,0.0,1.0,15.0,0.0
91,Curt Hawkins,0.0,26.0,1.0,,,,,,,4.0,44.0,0.0
92,Jake Carter,12.0,15.0,0.0,,,,,,,,,
93,Hunico,2.0,24.0,0.0,,,,,,,,,
94,Tyler Breeze,7.0,19.0,0.0,29.0,53.0,2.0,44.0,105.0,2.0,17.0,163.0,2.0
95,Dante Dash,10.0,15.0,0.0,,,,,,,,,
96,Tyson Kidd,12.0,13.0,0.0,37.0,70.0,0.0,39.0,49.0,1.0,,,
97,Sawyer Fulton,10.0,14.0,0.0,5.0,32.0,0.0,7.0,41.0,0.0,28.0,42.0,1.0
98,Angelo Dawkins,10.0,13.0,0.0,12.0,23.0,0.0,11.0,45.0,0.0,21.0,62.0,0.0
99,Knuckles Madsen,4.0,19.0,0.0,,,,,,,,,
100,Billy Gunn,18.0,2.0,1.0,7.0,10.0,1.0,,,,,,
101,Brad Maddox,3.0,18.0,0.0,,,,1.0,26.0,0.0,,,
102,Enzo Amore,3.0,15.0,1.0,29.0,9.0,1.0,67.0,19.0,0.0,79.0,48.0,3.0
103,JTG,0.0,19.0,0.0,,,,,,,,,
104,Rey Mysterio,14.0,5.0,0.0,8.0,11.0,0.0,,,,,,
105,Travis Tyler,1.0,18.0,0.0,8.0,5.0,0.0,,,,,,
106,Axl Keegan,3.0,15.0,0.0,,,,,,,,,
107,Camacho,5.0,13.0,0.0,5.0,13.0,0.0,,,,,,
108,Garrett Dylan,16.0,2.0,0.0,,,,,,,,,
109,Mike Dalton,3.0,15.0,0.0,,,,,,,,,
110,Road Dogg,17.0,0.0,1.0,7.0,10.0,1.0,,,,,,
111,Briley Pierce,1.0,14.0,1.0,,,,,,,,,
112,David Otunga,0.0,16.0,0.0,,,,,,,,,
113,Audrey Marie,6.0,9.0,0.0,,,,,,,,,
114,Paul Heyman,2.0,11.0,0.0,,,,,,,,,
115,Ricardo Rodriguez,6.0,6.0,1.0,,,,,,,,,
116,Rosa Mendes,1.0,12.0,0.0,2.0,33.0,1.0,,,,,,
117,Sakamoto,3.0,9.0,1.0,,,,,,,,,
118,Eva Marie,5.0,7.0,0.0,22.0,15.0,1.0,13.0,9.0,1.0,18.0,22.0,0.0
119,Percy Watson,3.0,9.0,0.0,,,,,,,,,
120,Derrick Bateman,2.0,9.0,0.0,,,,,,,,,
121,Kendall Skye,7.0,4.0,0.0,3.0,9.0,0.0,,,,,,
122,Troy McClain,1.0,10.0,0.0,,,,,,,,,
123,William Regal,5.0,6.0,0.0,,,,,,,,,
124,Malik Omari,3.0,6.0,1.0,,,,,,,,,
125,Oliver Grey,7.0,3.0,0.0,,,,,,,,,
126,Tye Dillinger,0.0,10.0,0.0,14.0,39.0,0.0,24.0,66.0,3.0,60.0,41.0,1.0
127,Konnor O'Brian,7.0,2.0,0.0,,,,,,,,,
128,Slate Randall,2.0,6.0,1.0,,,,,,,,,
129,Cal Bishop,2.0,5.0,1.0,,,,,,,,,
130,El Local,0.0,8.0,0.0,,,,,,,,,
131,Mickey Keegan,1.0,7.0,0.0,,,,,,,,,
132,Wesley Blake,5.0,3.0,0.0,10.0,39.0,0.0,,,,7.0,45.0,1.0
133,Kalisto,3.0,4.0,0.0,51.0,10.0,0.0,107.0,54.0,2.0,75.0,59.0,0.0
134,Tamina,1.0,5.0,1.0,,,,7.0,43.0,0.0,6.0,36.0,0.0
135,Viktor,6.0,1.0,0.0,51.0,33.0,0.0,19.0,143.0,0.0,2.0,145.0,1.0
136,Brandon Traven,1.0,5.0,0.0,,,,,,,,,
137,Bull Dempsey,1.0,5.0,0.0,35.0,20.0,0.0,62.0,34.0,0.0,,,
138,Judas Devlin,1.0,5.0,0.0,,,,,,,,,
139,Rick Viktor,5.0,1.0,0.0,,,,,,,,,
140,Zeb Colter,0.0,5.0,1.0,,,,,,,,,
141,Adam Rose,4.0,1.0,0.0,86.0,21.0,0.0,8.0,142.0,1.0,6.0,23.0,0.0
142,El Torito,5.0,0.0,0.0,48.0,5.0,0.0,,,,,,
143,Eve Torres,3.0,2.0,0.0,,,,,,,,,
144,JoJo,3.0,2.0,0.0,,,,,,,,,
145,Konnor,5.0,0.0,0.0,49.0,29.0,0.0,19.0,141.0,0.0,2.0,110.0,1.0
146,Rami Sebei,2.0,3.0,0.0,,,,,,,,,
147,Triple H,1.0,3.0,1.0,,,,,,,,,
148,Alexa Bliss,1.0,3.0,0.0,24.0,19.0,0.0,19.0,37.0,0.0,35.0,90.0,0.0
149,Becky Lynch,0.0,4.0,0.0,27.0,21.0,0.0,71.0,59.0,1.0,102.0,54.0,5.0
150,El Local #1,0.0,4.0,0.0,,,,,,,,,
151,El Local #2,0.0,4.0,0.0,,,,,,,,,
152,Sylvester Lefort,1.0,3.0,0.0,7.0,23.0,1.0,,,,,,
153,The Undertaker,3.0,1.0,0.0,,,,,,,,,
154,Bad News Barrett,3.0,0.0,0.0,58.0,17.0,2.0,20.0,54.0,0.0,,,
155,Brock Lesnar,2.0,1.0,0.0,,,,,,,8.0,3.0,0.0
156,Hornswoggle,3.0,0.0,0.0,3.0,37.0,0.0,,,,,,
157,Luther Ward,2.0,1.0,0.0,,,,,,,,,
158,Simon Gotch,1.0,2.0,0.0,35.0,31.0,0.0,57.0,41.0,0.0,11.0,111.0,1.0
159,Solomon Crowe,2.0,1.0,0.0,10.0,21.0,0.0,46.0,37.0,1.0,,,
160,The Rock,2.0,1.0,0.0,,,,,,,,,
161,Veronica Lane,0.0,3.0,0.0,,,,,,,,,
162,Buddy Murphy,0.0,2.0,0.0,7.0,28.0,0.0,,,,10.0,33.0,1.0
163,Denton Blackwell,0.0,2.0,0.0,,,,,,,,,
164,Jamie Noble,2.0,0.0,0.0,,,,,,,,,
165,Marcus Louis,0.0,2.0,0.0,16.0,18.0,1.0,5.0,24.0,0.0,,,
166,Memo Montenegro,0.0,2.0,0.0,,,,,,,,,
167,Vickie Guerrero,0.0,2.0,0.0,,,,,,,,,
168,Cesaro,,,,64.0,120.0,1.0,117.0,69.0,1.0,78.0,62.0,3.0
169,Big E,,,,84.0,48.0,0.0,96.0,86.0,1.0,107.0,31.0,1.0
170,Rusev,,,,80.0,30.0,0.0,52.0,93.0,4.0,70.0,97.0,2.0
171,Stardust,,,,52.0,45.0,0.0,38.0,110.0,0.0,5.0,66.0,2.0
172,Damien Mizdow,,,,11.0,39.0,0.0,14.0,29.0,0.0,,,
173,Dash Wilder,,,,11.0,33.0,0.0,38.0,57.0,0.0,34.0,64.0,3.0
174,Batista,,,,15.0,13.0,4.0,,,,,,
175,Carmella,,,,11.0,18.0,0.0,36.0,33.0,1.0,59.0,62.0,1.0
176,Hideo Itami,,,,24.0,0.0,1.0,25.0,13.0,0.0,26.0,2.0,0.0
177,Elias Sampson,,,,3.0,21.0,0.0,,,,,,
178,Chad Gable,,,,5.0,17.0,0.0,26.0,55.0,0.0,120.0,25.0,2.0
179,Steve Cutler,,,,4.0,15.0,0.0,8.0,22.0,1.0,10.0,35.0,1.0
180,Dana Brooke,,,,4.0,10.0,0.0,18.0,39.0,1.0,11.0,74.0,0.0
181,Finn Balor,,,,9.0,3.0,0.0,103.0,20.0,0.0,60.0,11.0,1.0
